scan_idx,x,y,z,a,b,c,d
256,-0.03908986143480237,-0.5846948027409048,0.0,-0.14505266783295417,-0.01347543762934611,0.989332166734328,-0.5291455861079534
257,-0.035693910307778735,-0.5849119372915531,0.0,-0.14505266783295417,-0.01347543762934611,0.989332166734328,-0.5291455861079534
258,-0.032076299442576985,-0.5811154196848116,0.0,-0.14505266783295417,-0.01347543762934611,0.989332166734328,-0.5291455861079534
259,-0.028602620458992346,-0.5792942868208615,0.0,-0.14505266783295417,-0.01347543762934611,0.989332166734328,-0.5291455861079534
260,-0.025151179483510994,-0.5774525336716774,0.0,-0.14505266783295417,-0.01347543762934611,0.989332166734328,-0.5291455861079534
261,-0.021797518845753917,-0.5775888491352827,0.0,-0.14505266783295417,-0.01347543762934611,0.989332166734328,-0.5291455861079534
262,-0.018315488848441037,-0.5737077164925192,0.0,-0.14505266783295417,-0.01347543762934611,0.989332166734328,-0.5291455861079534
263,-0.014879273254959191,-0.5698057555636735,0.0,-0.14505266783295417,-0.01347543762934611,0.989332166734328,-0.5291455861079534
264,-0.01157019024570845,-0.5698825515347551,0.0,-0.14505266783295417,-0.01347543762934611,0.989332166734328,-0.5291455861079534
265,-0.008318687141570524,-0.5739397185585423,0.0,-0.14505266783295417,-0.01347543762934611,0.989332166734328,-0.5291455861079534
266,-0.004985709040536832,-0.5739783478496215,0.0,-0.14505266783295417,-0.01347543762934611,0.989332166734328,-0.5291455861079534
267,-0.001646804832333934,-0.5719976560982926,0.0,-0.14505266783295417,-0.01347543762934611,0.989332166734328,-0.5291455861079534
268,0.001668927338232634,-0.5699975495803682,0.0,-0.14505266783295417,-0.01347543762934611,0.989332166734328,-0.5291455861079534
269,0.004978845074970701,-0.5699782477847765,0.0,-0.14505266783295417,-0.01347543762934611,0.989332166734328,-0.5291455861079534
270,0.00831767820231641,-0.571939548184438,0.0,-0.14505266783295417,-0.01347543762934611,0.989332166734328,-0.5291455861079534
271,0.011679455364511777,-0.5738811648914839,0.0,-0.14505266783295417,-0.01347543762934611,0.989332166734328,-0.5291455861079534
272,0.014907144515772868,-0.5698050270824842,0.0,-0.14505266783295417,-0.01347543762934611,0.989332166734328,-0.5291455861079534
273,0.018151807093266057,-0.5677099021727934,0.0,-0.14505266783295417,-0.01347543762934611,0.989332166734328,-0.5291455861079534
