scan_idx,x,y,z,a,b,c,d
264,-0.01964902497841841,-0.967800550559191,0.0,-0.0913815112128742,-0.13229579017452428,0.9869889783125998,-0.9535305533868214
265,-0.014028726648132718,-0.9678983338522222,0.0,-0.0913815112128742,-0.13229579017452428,0.9869889783125998,-0.9535305533868214
266,-0.008425327358759562,-0.9699634371267526,0.0,-0.0913815112128742,-0.13229579017452428,0.9869889783125998,-0.9535305533868214
267,-0.0027926584963415264,-0.9699960085290913,0.0,-0.0913815112128742,-0.13229579017452428,0.9869889783125998,-0.9535305533868214
268,0.002845960347180446,-0.9719958364476315,0.0,-0.0913815112128742,-0.13229579017452428,0.9869889783125998,-0.9535305533868214
269,0.00849024120674219,-0.9719629218062178,0.0,-0.0913815112128742,-0.13229579017452428,0.9869889783125998,-0.9535305533868214
270,0.014105153352394005,-0.969897468886661,0.0,-0.0913815112128742,-0.13229579017452428,0.9869889783125998,-0.9535305533868214
271,0.019696363611153837,-0.9677995882959307,0.0,-0.0913815112128742,-0.13229579017452428,0.9869889783125998,-0.9535305533868214
272,0.025263687874723904,-0.965669604828014,0.0,-0.0913815112128742,-0.13229579017452428,0.9869889783125998,-0.9535305533868214
273,0.030934768654557195,-0.9675055710090589,0.0,-0.0913815112128742,-0.13229579017452428,0.9869889783125998,-0.9535305533868214
274,0.0366280241634204,-0.9693082292798972,0.0,-0.0913815112128742,-0.13229579017452428,0.9869889783125998,-0.9535305533868214
